family_key,display_name,evidence,source_url,source_form,source_date,measured_on,note
ROCKWELL COLLINS AUSTRALIA,RTX (Raytheon Company registrations),measured,,,,2026-09-01,"Won its parent-registration argmax by 3.1% — $6.581B as ROCKWELL COLLINS AUSTRALIA PTY LIMITED over $6.379B as RAYTHEON COMPANY, on the dominant member's $18.93B. The family is 97.3% one UEI (XSV6AZJ6SDJ7 / RAYTHEON COMPANY, $18.934B of $19.467B) and all 15 members are RTX-group recipients — Raytheon Company on four UEIs, Sparton DeLeon Springs, and Collins Aerospace entities including Hamilton Sundstrand and B/E Aerospace — sharing parent UEI EGAVSJTA2D81. That UEI's registered legal name is an Australian Collins subsidiary; the dominant member filed it as its parent only in FY2023-FY2025 and REVERTED to RTX CORP in FY2026 ($1.159B RTX CORP against $0.000B Rockwell Collins Australia). The grouping is right and the string was wrong. Published as RTX, naming the registrations the family is built from rather than as RTX CORP, because a separate registry family already publishes $183.969B under that string."
RTX,RTX Corporation,sourced,https://www.sec.gov/Archives/edgar/data/101829/000119312523187728/d708798d8k.htm,8-K Item 5.03,2023-07-17,2026-09-01,"Won by 6.5% — $23.121B as RTX CORP over $21.607B as RAYTHEON COMPANY on the dominant member — so the site's #4 family is correctly titled by luck, and in a marginally different data window it would read RAYTHEON COMPANY. The registrant's own 8-K records the certificate of amendment effective 2023-07-17 that made the name RTX Corporation; RTX CORP is the award data's abbreviation of it. Sourced and pinned together: the label is right, and the near-tie is not allowed to decide it again."
USF HOLDING,US Foods Holding Corp.,measured,,,,2026-09-01,"Won by 2.6% — $0.531B as USF HOLDING CORP. over $0.517B as US FOODS HOLDING CORP. on the dominant member US FOODS INC. All 26 members are US Foods recipients, so the family's identity is not in doubt; only which of its own two holding-company registrations names it. USF Holding Corp. is the pre-IPO one: the dominant member last filed it in FY2022 and has filed US FOODS HOLDING CORP. in every year since, FY2023 through FY2026. Same shape as the flagship — the argmax picked a registration the registrant has stopped using."
NOVETTA SOLUTIONS,Accenture Federal Services LLC,measured,,,,2026-09-01,"Won by 5.5% — $1.957B as NOVETTA SOLUTIONS, LLC over $1.850B as ACCENTURE PUBLIC LIMITED COMPANY. The family's two largest members are both ACCENTURE FEDERAL SERVICES LLC UEIs and carry $4.893B of its $4.895B (99.9%); Novetta is a business Accenture Federal Services acquired, filed as though it were the parent. We name the recipient the money was obligated to. Nothing here asserts anything about Accenture plc's group structure — the family's own registrations disagree about that, listing ACCENTURE PUBLIC LIMITED COMPANY, ACCENTURE INC. and NOVETTA SOLUTIONS, LLC in different years."
MACANDREWS FORBES HOLDINGS,AM General LLC,measured,,,,2026-09-01,"Won by 6.8% — $2.386B as MACANDREWS & FORBES HOLDINGS INC. over $2.223B as KPS CAPITAL PARTNERS, LP. Two AM GENERAL LLC UEIs carry $7.130B of the family's $7.131B (99.98%); the other two members total under $1M. Both sides of the near-tie name an OWNER rather than the recipient, and they name different owners in different years: the dominant member filed MacAndrews & Forbes as parent only through FY2020, KPS Capital Partners FY2021-FY2024, and AM GENERAL LLC itself in FY2024-FY2026. The one name that is true across the whole decade is the recipient's."
FRANCISCO PARTNERS MANAGEMENT,Dell Marketing L.P.,measured,,,,2026-09-01,"Won by 4.8% — $3.439B as FRANCISCO PARTNERS MANAGEMENT, L.P. over $3.274B as DELL TECHNOLOGIES INC. DELL MARKETING L.P. carries $6.713B of the family's $6.859B (97.9%). We name the recipient the money was obligated to and assert nothing about who owns it, because the family's own registrations disagree: the dominant member filed DELL TECHNOLOGIES INC. through FY2024 and FRANCISCO PARTNERS MANAGEMENT, L.P. from FY2024 on. Not published as Dell Technologies Inc. either — a separate registry family already publishes $3.29B under that string, and one name on two rows is the defect this seed exists to avoid."
WICO,General Dynamics Ordnance & Tactical Systems,measured,,,,2026-09-01,"Won by 12.6% — $1.200B as WICO LIMITED over $1.049B as GENERAL DYNAMICS CORP. All five members are General Dynamics recipients, and the three GD Ordnance and Tactical Systems entities (GD OTS (Wilkes Barre), GD Ordnance & Tactical Systems Inc., St. Marks Powder) carry $3.274B of the family's $3.410B (96.0%). The runner-up registration is General Dynamics' own, so the near-tie is between a holding name and the group that actually holds the money. Not published as General Dynamics Corporation: a separate registry family publishes the corporation's $188.7B under that name."
DELOITTE TOUCHE TOHMATSU,Deloitte & Touche LLP,measured,,,,2026-09-01,"Won by 10.0% — $0.774B as DELOITTE TOUCHE TOHMATSU LIMITED over $0.697B as DELOITTE FINANCIAL ADVISORY SERVICES LLP. DELOITTE & TOUCHE LLP carries $1.898B of the family's $1.945B (97.6%). Deloitte Touche Tohmatsu Limited is the global umbrella entity, not the contracting party, and the sibling family whose label it nearly won instead is a DIFFERENT Deloitte US firm — these two families are the same organisation on both sides of its own coin flip. Naming each for the member firm that holds its money is the only labelling that keeps them distinguishable."
DELOITTE FINANCIAL ADVISORY SERVICES,Deloitte Consulting LLP,measured,,,,2026-09-01,"Won by 14.0% — $1.231B as DELOITTE FINANCIAL ADVISORY SERVICES LLP over $1.059B as DELOITTE TOUCHE TOHMATSU LIMITED. DELOITTE CONSULTING LLP carries $4.084B of the family's $4.100B (99.6%); the only other member is a $15M Deloitte Financial Advisory Services UEI. This is the other side of the DELOITTE TOUCHE TOHMATSU near-tie — see that row — and it is named the same way, for the member firm that holds its money."
HIG CAPITAL MANAGEMENT,"HIG Capital Management, Inc.",pin,,,,2026-09-01,"Won by 2.2% — $1.010B as HIG CAPITAL MANAGEMENT, INC. over $0.988B as IRON BOW TECHNOLOGIES, LLC on the dominant member. PINNED, NOT RELABELLED: the label is right. The family's two real members are IRON BOW TECHNOLOGIES ($2.434B, 71.5%) and EMPOWER AI ($0.972B, 28.5%) — separate businesses whose only shared name is their owner's, so the registered parent is the only label that covers both. The row exists so that a 2.2% margin cannot silently retitle a $3.4B family after one of its two portfolio companies."
