family,from_name,to_name,event,effective_date,evidence,source_url,source_form,source_date,source_verified,note
RTX,Raytheon Company,Raytheon Technologies Corporation,merger,2020-04-03,sourced,https://www.sec.gov/Archives/edgar/data/101829/000114036120007906/nc10010681x1_ex99-1.htm,8-K Exhibit 99.1,2020-04-03,2026-08-04,"All-stock merger of equals with United Technologies Corporation, completed 2020-04-03. United Technologies was the surviving registrant (CIK 101829) and its name changed to Raytheon Technologies Corporation at closing; Raytheon Company (NYSE: RTN) shares ceased trading and each converted into 2.3348 United Technologies shares."
RTX,Raytheon Technologies Corporation,RTX Corporation,rename,2023-07-17,sourced,https://www.sec.gov/Archives/edgar/data/101829/000119312523187728/d708798d8k.htm,8-K Item 5.03,2023-07-17,2026-08-04,"Name change only — same registrant (CIK 101829), by certificate of amendment effective 2023-07-17. The ticker stayed RTX; the shares traded under the former name through 2023-07-26 and as RTX Corporation from 2023-07-27."
RTX,"Rockwell Collins, Inc.",Collins Aerospace Systems (United Technologies Corporation),acquisition,2018-11-26,sourced,https://www.sec.gov/Archives/edgar/data/101829/000119312518334171/d659415dex991.htm,8-K Exhibit 99.1,2018-11-27,2026-08-04,"United Technologies completed the Rockwell Collins acquisition on 2018-11-26: ""Collins Aerospace was formed through the combination of UTC Aerospace Systems and Rockwell Collins."" Collins Aerospace entered the Raytheon Technologies / RTX family through the 2020 merger."
RTX,Rockwell Collins Australia Pty Limited,Collins Aerospace Systems (United Technologies Corporation),acquisition,2018-11-26,name-inferred,https://www.sec.gov/Archives/edgar/data/101829/000119312518334171/d659415dex991.htm,8-K Exhibit 99.1,2018-11-27,2026-08-04,"The release names only Rockwell Collins; that this separately-registered award recipient is one of its subsidiaries is OUR inference from the name, not a statement in the source. Listed apart because USAspending registers it as its own recipient family."
L3Harris Technologies,"L3 Technologies, Inc.","L3Harris Technologies, Inc.",acquisition,2019-06-29,sourced,https://www.sec.gov/Archives/edgar/data/202058/000020205819000081/l3harris_8-kxl3xfsxcoverwr.htm,8-K Item 8.01,2019-07-31,2026-08-04,"Publicly styled a merger of equals; the filing records that Merger Sub merged into L3 on 2019-06-29 and L3 continued as a wholly-owned subsidiary of Harris Corporation, so we record what the filing says."
L3Harris Technologies,Harris Corporation,"L3Harris Technologies, Inc.",rename,2019-06-29,sourced,https://www.sec.gov/Archives/edgar/data/202058/000020205819000081/l3harris_8-kxl3xfsxcoverwr.htm,8-K Item 8.01,2019-07-31,2026-08-04,"Harris was the surviving registrant (CIK 202058) and ""was renamed 'L3Harris Technologies, Inc.' upon consummation of the Merger""; the ticker moved HRS to LHX."
L3Harris Technologies,Exelis Inc.,Harris Corporation,acquisition,2015-05-29,sourced,https://www.sec.gov/Archives/edgar/data/202058/000119312515205531/d933859d8k.htm,8-K Item 2.01,2015-05-29,2026-08-04,"Harris completed the Exelis merger on 2015-05-29 — four years before the L3 merger, and a separate event from it. Exelis continued as the surviving entity and a wholly-owned Harris subsidiary; implied consideration approximately USD 4.6B."
Northrop Grumman,"Orbital ATK, Inc.",Northrop Grumman Innovation Systems LLC,acquisition,2018-06-06,sourced,https://www.sec.gov/Archives/edgar/data/1133421/000113342118000024/form8-k060618xex9911.htm,8-K Exhibit 99.1,2018-06-07,2026-08-04,"Northrop Grumman closed the Orbital ATK acquisition on 2018-06-06: ""Orbital ATK is now Northrop Grumman Innovation Systems, a new, fourth business sector."""
Huntington Ingalls Industries,Alion Science and Technology Corporation,"Huntington Ingalls Industries, Inc",acquisition,2021-08-19,sourced,https://www.sec.gov/Archives/edgar/data/1501585/000119312521252026/d57236dex991.htm,8-K Exhibit 99.1,2021-08-20,2026-08-04,"HII completed the acquisition of Alion Science and Technology from Veritas Capital on 2021-08-19, into HII's Technical Solutions division. The release states no purchase price, so neither do we."
Lockheed Martin,Sikorsky Aircraft Corporation,Lockheed Martin Corporation,acquisition,2015-11-06,sourced,https://news.lockheedmartin.com/2015-11-06-Lockheed-Martin-Completes-Acquisition-of-Sikorsky-Aircraft,Press release,2015-11-06,2026-08-04,"Lockheed Martin closed the Sikorsky acquisition on 2015-11-06. Recorded for completeness: USAspending already resolves Sikorsky under the Lockheed Martin family, so this event merges no separate row."
