product_number,gao_program,slug,verdict,org,corpus_title,matched_on,curator_notes
GAO-22-104530,KC-46 Tanker,0401221F,y,F,KC-46A Tanker Squadrons,KC-46,"Narrative names ""PE 0401221F, KC-46A Tanker Squadrons"" as the KC-46A recapitalisation line."
GAO-22-104530,KC-46 Tanker,KC046A,y,F,KC-46A MDAP,KC-46,Corpus title and J-book narrative both name the program GAO assessed.
GAO-22-105128,F-35 Joint Strike Fighter,0207142F,y,F,F-35 Squadrons,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-22-105128,F-35 Joint Strike Fighter,0604840F,y,F,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-22-105128,F-35 Joint Strike Fighter,0604840M,y,N,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-22-105128,F-35 Joint Strike Fighter,0604840N,y,N,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-22-105128,F-35 Joint Strike Fighter,ATA000,y,F,F-35,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-22-105128,F-35 Joint Strike Fighter,F03500,y,F,F-35 Modifications,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-23-106047,F-35 Joint Strike Fighter,0207142F,y,F,F-35 Squadrons,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-23-106047,F-35 Joint Strike Fighter,0604840F,y,F,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-23-106047,F-35 Joint Strike Fighter,0604840M,y,N,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-23-106047,F-35 Joint Strike Fighter,0604840N,y,N,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-23-106047,F-35 Joint Strike Fighter,ATA000,y,F,F-35,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-23-106047,F-35 Joint Strike Fighter,F03500,y,F,F-35 Modifications,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-24-106639,F-22 Aircraft,0207138F,y,F,F-22A Squadrons,F-22,Corpus title and J-book narrative both name the program GAO assessed.
GAO-24-106639,F-22 Aircraft,F02200,y,F,F-22A,F-22,F-22A procurement line; the report is about the F-22 fleet.
GAO-24-106909,F-35 Joint Strike Fighter,0207142F,y,F,F-35 Squadrons,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-24-106909,F-35 Joint Strike Fighter,0604840F,y,F,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-24-106909,F-35 Joint Strike Fighter,0604840M,y,N,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-24-106909,F-35 Joint Strike Fighter,0604840N,y,N,F-35 C2D2,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-24-106909,F-35 Joint Strike Fighter,ATA000,y,F,F-35,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-24-106909,F-35 Joint Strike Fighter,F03500,y,F,F-35 Modifications,F-35,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,AMDR,0604522N,y,N,Air and Missile Defense Radar (AMDR) System,AMDR,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,CPS,0605518N,y,N,CONVENTIONAL PROMPT STRIKE (CPS),CPS,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,CPS,5353,y,N,CPS Support Equipment,CPS,"Navy OPN line; its own narrative opens ""Conventional Prompt Strike (CPS) capability"", so CPS here is the program GAO assessed and not another expansion."
GAO-25-107569,CVN 78,0604112N,y,N,Gerald R. Ford Class Nuclear Aircraft Carrier (CVN 78 - 80),CVN 78,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,DDG 1000,0204202N,y,N,Destroyers Guided Missile (DDG-1000),DDG 1000,Zumwalt/DDG-1000 RDT&E line.
GAO-25-107569,DDG 1000,0947,y,N,DDG 1000 Class Support Equipment,DDG 1000,"Support-equipment line for the DDG 1000 class GAO assessed; narrative opens ""DDG 1000, a multi-mission surface combatant""."
GAO-25-107569,F-15 EPAWSS,0207171F,y,F,F-15 EPAWSS,F-15 EPAWSS,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,F-15EX,0207146F,y,F,F-15EX,F-15EX,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,F-15EX,F015EX,y,F,F-15EX,F-15EX,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,FLRAA,0605241A,y,A,Future Long Range Assault Aircraft Development,Future Long Range Assault Aircraft,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,GPS IIIF,1203269SF,y,F,GPS III Follow-On (GPS IIIF),GPS IIIF,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,HACM,0604183F,y,F,Hypersonics Prototyping - Hypersonic Attack Cruise Missile (HACM),HACM,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,HADES,9697A12400,y,A,"HADES PLATFORM, PAYLOADS/PED, AND INTEGRATION",HADES,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,IRST,0604014N,y,N,F/A -18 Infrared Search and Track (IRST),IRST,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,ITEP,0607139A,y,A,Improved Turbine Engine Program,Improved Turbine Engine Program,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,KC-46A,0401221F,y,F,KC-46A Tanker Squadrons,KC-46A,"Narrative names ""PE 0401221F, KC-46A Tanker Squadrons"" as the KC-46A recapitalisation line."
GAO-25-107569,KC-46A,KC046A,y,F,KC-46A MDAP,KC-46A,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,LRHW,2611C72100,y,A,LONG-RANGE HYPERSONIC WEAPON,Long Range Hypersonic Weapon System,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,LRSO,0604932F,y,F,Long Range Standoff Weapon,Long Range Standoff,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,LSM,3050-SCN,y,N,Medium Landing Ship,Medium Landing Ship,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,LUSV,0603178N,y,N,Large Unmanned Surface Vehicles (LUSV),LUSV,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,M10 Booker,7181G80820,y,A,M10 BOOKER,M10 Booker,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,MH-139A,0102110F,y,F,MH-139A,MH-139A,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,MH-139A,H01061,y,F,MH-139A Mod,MH-139A,"Modification procurement for the same aircraft GAO assessed; the rendered note says GAO assessed the PROGRAM, not this line."
GAO-25-107569,MH-139A,H0106O,y,F,MH-139A,MH-139A,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,MQ-4C Triton,0305220N,y,N,MQ-4C Triton,MQ-4C Triton,Corpus title and J-book narrative both name the program GAO assessed.
