clause_id,from_pe_bli,to_pe_bli,relation,verdict,narrating_pe,fiscal_year,evidence_fact_id,evidence_sentence,from_title,to_title,curator_notes
7e4beb18d9863615,0204228N,0607658N,realigned,y,0204228N,2026,6bc2c580ea11a5f6,"Effective in FY 2026, Project 3311 Navigation Systems moved from PE 0204228N to PE 0607658N as part of the PE/BLI consolidation effort in the DoD Implementation Plan from the Commission on PPBE Reform Final Report.",Surface Support,Cooperative Engagement Capability (CEC),"S1: 'Effective in FY 2026, Project 3311 Navigation Systems moved from PE 0204228N to PE 0607658N as part of the PE/BLI consolidation effort in the DoD Implementation Plan from the Commission on PPBE Reform Final Report.' Both codes named, direction explicit."
50ddada854e5c42e,0205620N,0603561N,realigned,y,0205620N,2026,135c3629d24f5935,"Effective FY 2026, Project 1916 moves from PE 0205620N to PE 0603561N as part of the PE/BLI consolidation effort in the DoD Implementation Plan from the Commission on Planning, Programming, Budgeting, and Execution (PPBE) Reform Final Report in an effort to rapidly increase Navy Lethality in the Submarine and Surface Fleet.",Surface ASW Combat System Integration,Advanced Submarine System Development,"S1: sole sentence of the PB2026 mission block; PPBE-reform PE/BLI consolidation, both codes named, direction explicit. S2: 0205620N Surface ASW Combat System Integration -> 0603561N Advanced Submarine System Development, both Navy."
8964388ad52bbbd9,0207418F,0207457F,realigned,y,0207418F,2026,b1f9b5dabc5eebf8,FY26 funding ($4.108M) for BA 07 Project 0207418F was transferred to BA 07 Project 0207457F.,AFSPECWAR - TACP,Air Force Special Warfare (SPECWAR),"S1: 'FY26 funding ($4.108M) for BA 07 Project 0207418F was transferred to BA 07 Project 0207457F.' S2: 0207418F AFSPECWAR - TACP -> 0207457F Air Force Special Warfare (SPECWAR), both Air Force — one of three TACP/Special Tactics lines consolidating into SPECWAR in FY26."
f8774c188e0242b7,0207431F,0303010F,realigned,y,0303010F,2026,d479bad2ed910f95,"New Program Element FY25

Congressional technical adjustment transferred 18.733M from CAIS PE 0207431F in RDT&E for FY25.",Combat Air Intelligence System Activities,AF ISR Digital Infrastructure,"S1: the block opens 'New Program Element FY25', then 'Congressional technical adjustment transferred 18.733M from CAIS PE 0207431F in RDT&E for FY25' — a new PE stood up out of an old one, which IS lineage (unlike a one-time execution adjustment). S2: 0207431F = Combat Air Intelligence System Activities = CAIS."
9fb59fbc6b9ef9bf,0207444F,0207457F,realigned,y,0207444F,2026,ffe454d97c72d3fe,FY26 funding ($12.038M) for BA 07 0207444F was transferred to BA 07 Project 0207457F.,Tactical Air Control Party-Mod,Air Force Special Warfare (SPECWAR),"S1: 'FY26 funding ($12.038M) for BA 07 0207444F was transferred to BA 07 Project 0207457F.' S2: 0207444F Tactical Air Control Party-Mod -> 0207457F Air Force Special Warfare (SPECWAR), both Air Force."
b2ff0fb4c31cb39e,0304210BB,1160434BB,merged,y,0304210BB,2017,16047b295c3198ce,"Beginning in FY 2017, this Program Element has been consolidated into SOCOM Program Element 1160434BB, Unmanned ISR.",,Unmanned ISR,"S1: 'Beginning in FY 2017, this Program Element has been consolidated into SOCOM Program Element 1160434BB, Unmanned ISR.' S2: 1160434BB's warehouse title is 'Unmanned ISR', word for word the clause's own gloss."
59ce6800a7fe76ec,0304270A,0609277A,realigned,y,0304270A,2026,652493c1a35f4d2c,"Administrative realignment of FY26 RDT&E funds for TLS EAB transferred to Budget Activity 9 (BA-9) 0609277A, Project Code:",Electronic Warfare Development,Electronic Warfare Agile Development,"S1: 'Administrative realignment of FY26 RDT&E funds for TLS EAB transferred to Budget Activity 9 (BA-9) 0609277A, Project Code:'. The adjacency rules miss it because the code trails a BA label. S2: 0304270A Electronic Warfare Development -> 0609277A Electronic Warfare Agile Development, both Army, BA-9 agile funding pilot."
5f9b8739fffc3798,0408011F,0207457F,realigned,y,0408011F,2026,8c37f0954c809ee2,FY26 funding ($9.622M) for BA 07 0408011F was transferred to BA 07 Project 0207457F.,Special Tactics / Combat Control,Air Force Special Warfare (SPECWAR),"S1: 'FY26 funding ($9.622M) for BA 07 0408011F was transferred to BA 07 Project 0207457F.' S2: 0408011F Special Tactics / Combat Control -> 0207457F Air Force Special Warfare (SPECWAR), both Air Force."
655cdddea42f7dd7,0601103N,0601153N,realigned,y,0601103N,2026,cc8f03a0871ebe6e,All research activities under the MRI project were moved to the Defense Research Sciences (DRS) PE 0601153N starting in FY 2024.,University Research Initiatives,Defense Research Sciences,"S1: MRI bullet in the URI book — 'All research activities under the MRI project were moved to the Defense Research Sciences (DRS) PE 0601153N starting in FY 2024.' S2: 0601153N's warehouse title is 'Defense Research Sciences', the clause's own gloss."
8d16683ddc83ee80,0602123N,0603758N,realigned,y,0603758N,2026,784f2a8c7c1ea057,Investments in Project 1097 were previously funded in this same PE under pieces of several projects spread across Project 2918 and in PE 0602123N/0000.,Force Protection Applied Research,Navy Warfighting Experiments and Demonstrations,S1: 'Investments in Project 1097 were previously funded in this same PE under pieces of several projects spread across Project 2918 and in PE 0602123N/0000.' The 'previously funded in PE X' shape is the same one extract.py's rule 3 already treats as stated. S2: both Navy.
e5502592d13371c6,0603032F,1206616SF,realigned,y,0603032F,2026,67a24cedb0e6f29b,"This thrust was realigned under US Space Force Account 3620, Program 1206616SF Advanced Technology Development (ATD), Project 630321 Space Warfighter Technologist Capabilities:",Future AF Integrated Technology Demos,Space Advanced Technology Development/Demo,"S1: 'This thrust was realigned under US Space Force Account 3620, Program 1206616SF Advanced Technology Development (ATD), Project 630321' — and the numbered notes that follow confirm 'In FY 2024, FY 2024 money was transferred to the Space Force'. S2: 1206616SF = Space Advanced Technology Development/Demo."
09f70b597f572944,0603134BR,0603160BR,realigned,y,0603160BR,2022,90cca798f9e3fcb9,"These funds were realigned within Budget Activity (BA) 3, from PE 0603134BR, Project JC - Enable Rapid Capability Delivery to more effectively align Agency support of COCOM and Military Department testing and evaluation (T&E) efforts, and to facilitate transition of CWMD development capabilities into the next stage of development.",,Counter Weapons of Mass Destruction Advanced Technology Development,"S1: 'Project RR ... was added to this Program Element in FY 2022. Project RR is not a new start effort. These funds were realigned within Budget Activity (BA) 3, from PE 0603134BR, Project JC'. S2: both DTRA (BR suffix); 0603160BR = Counter WMD Advanced Technology Development."
