jurisdiction,raw_category,comparable_category,notes
CA,Travel,travel,"CA Open Fi$Cal 'Travel' category: per-diem, airfare, lodging for state employees"
CT,In-State Travel,travel,"CT OpenCheckbook in-state employee travel"
CT,Out-Of-State Travel,travel,"CT OpenCheckbook out-of-state employee travel; combined with In-State Travel for comparable"
CA,Grants and Subventions,grants_and_subventions,"CA Open Fi$Cal transfers to local governments and non-profits; largest CA category after Other Items"
CT,State Aid Grants,grants_and_subventions,"CT OpenCheckbook primary state-to-local grant line; single largest CT category ($65B multi-year)"
CT,Trnsfr Grant Expend-St Agency,grants_and_subventions,"CT OpenCheckbook inter-agency grant transfer expenditures; second largest grant line ($45B multi-year)"
CT,Pass thru Grant Non-State,grants_and_subventions,"CT OpenCheckbook federal/other pass-through grants to non-state entities ($21B multi-year)"
CT,GT Transfer-Grant-St Agencies,grants_and_subventions,"CT OpenCheckbook GT grant transfers to state agencies ($1.6B multi-year)"
CT,Student Grant & Aid-Undergrad,grants_and_subventions,"CT OpenCheckbook student grant aid; semantically equivalent to CA's grants bucket"
CT,State Aid Grants-State Agency,grants_and_subventions,"CT OpenCheckbook state aid grants specifically to state agencies"
CA,Consulting & Professional Svcs,consulting_professional,"CA Open Fi$Cal professional and consulting services contracts"
CT,Management Consultant Services,consulting_professional,"CT OpenCheckbook management consulting ($1.3B multi-year); most directly comparable CA consulting subcategory"
CT,IT Consultant Services,consulting_professional,"CT OpenCheckbook IT consulting services (general category; $297M multi-year)"
CT,IT Consultant Services Hourly,consulting_professional,"CT OpenCheckbook IT consulting services billed hourly ($651M multi-year); largest IT consulting sub-line"
CT,IT Consultant Services Fixed F,consulting_professional,"CT OpenCheckbook IT consulting fixed-fee engagements ($56M multi-year)"
CT,Environmental Consulting Servi,consulting_professional,"CT OpenCheckbook environmental consulting services ($59M multi-year)"
CT,Insurance Consultant Services,consulting_professional,"CT OpenCheckbook insurance advisory/brokerage consulting ($2M multi-year)"
